,ratio,pvalue,tstat,sigma,MMDXY,MMDXZ,vae1_score,vae2_score,unenc_score,oldlower
47,5.0,0.9750334140528898,-1.9605360223492265,13.322582210160846,0.22969882548558607,0.24438610685415907,0.8649,0.8528,0.9203,
48,5.0,1.0,-10.379555245281836,12.952496377942165,0.18179533782355906,0.25706977752353344,0.8582,0.8644,0.9203,
49,5.0,0.9999999999999999,-8.273676926746282,13.108163399459102,0.18511029333219564,0.2494526498141476,0.8825,0.8696,0.9203,
50,5.0,0.9998311140850317,-3.5844634725003077,12.91235509600215,0.19562263267266733,0.22074951201101112,0.7543,0.8593,0.9203,
51,5.0,1.0,-9.84428402364038,12.844608610912669,0.16962231773916892,0.2477587885111342,0.8344,0.8716,0.9203,
52,5.0,0.9999999934930571,-5.6858824940634385,13.130820221831934,0.20109982937440973,0.24323301650859674,0.8106,0.8716,0.9203,
53,5.0,1.0,-10.257322420237504,13.346531968814578,0.20397971183827446,0.2752726110574283,0.878,0.8683,0.9203,
54,5.0,1.0,-9.936806176588464,12.932415868600227,0.17474548845644589,0.2533895768601352,0.8677,0.8781,0.9203,
55,5.0,0.9999999999999999,-8.242981131992435,12.659235749281173,0.16224828279829084,0.22648573493667012,0.8088,0.8754,0.9203,-200.19564929471073
56,5.0,0.9999805081188863,-4.113421513553241,13.132545850009507,0.20930279797660012,0.23758180745541424,0.7892,0.8277,0.9203,-224.27069933363452
57,5.0,1.0,-11.329571320843659,12.45875048345828,0.1313445444753596,0.2305020782974383,0.8518,0.8898,0.9203,-185.81880583747113
58,5.0,0.8758826066603507,-1.1546475488690637,12.864548229092891,0.20109936879312984,0.20986856503854812,0.8681,0.8576,0.9203,-208.86560507393963
59,5.0,0.9999999999527271,-6.475424712287731,13.311457007383044,0.21544922191769567,0.2593594490659834,0.866,0.8623,0.9203,-220.17624191058553
60,5.0,1.0,-13.047896404720836,12.415676342547869,0.13965654971019414,0.24045025576688228,0.8118,0.8883,0.9203,-176.0210879583617
61,5.0,0.25536665935154274,0.6576962714656489,13.27583457489859,0.23351064948288547,0.2292023524437582,0.8106,0.8606,0.9203,-230.40989654569452
62,5.0,0.9999874208783733,-4.213375371194729,12.822420567372834,0.18099984985175266,0.21669073237578074,0.8401,0.8711,0.9203,-206.113321119656
63,5.0,0.9999999999906939,-6.71651550145043,12.642926762160595,0.16725694889525156,0.21774608857578304,0.8732,0.8661,0.9203,-193.92017558124726
64,5.0,1.0,-19.348823163256565,12.244148756691839,0.10903217861506687,0.2548658136599832,0.8692,0.9031,0.9203,-162.93334091878754
65,5.0,0.8507302369448211,-1.0395704187720896,12.226865394020473,0.1599029695631342,0.16811780757410122,0.7983,0.8866,0.9203,-191.1322272054914
66,5.0,0.9999146426695468,-3.758822836852257,13.415359503348947,0.22554073987394696,0.2524484136106242,0.7775,0.8502,0.9203,-224.45676793440376
67,5.0,1.0,-11.886518133095532,12.886618222390775,0.1636712507916599,0.26095439294018996,0.8761,0.8814,0.9203,-185.90923338700097
68,5.0,1.0,-14.158707624961634,12.468113059338807,0.13624048413287293,0.24865650116230642,0.8622,0.8958,0.9203,-176.19553275485978
69,5.0,1.0,-9.28536917295796,12.485071470373356,0.1465166767912448,0.21919527114473214,0.8642,0.8646,0.9203,-189.6350368324685
70,5.0,1.0,-12.996708463931006,12.011318566239652,0.11999193409670417,0.21737600715497796,0.8072,0.9049,0.9203,-163.45521204820844
71,5.0,1.0,-10.335549316211308,12.967864438753967,0.17979720691832624,0.2578989821446347,0.8142,0.8488,0.9203,-209.83828013536476
72,5.0,0.889758785139247,-1.2252463127456221,13.200212348992649,0.22253238572627543,0.23138101029291203,0.8731,0.8567,0.9203,-221.95108320576148
73,5.0,1.0,-9.340057037649645,13.003043088506455,0.1880523899068225,0.25639039954738485,0.8798,0.8617,0.9203,-195.36581647248676
74,5.0,0.999985998640822,-4.1891290043481355,13.171269753027683,0.2046110337169018,0.23405116466862408,0.8757,0.8591,0.9203,-223.66016709862453
75,5.0,0.991483058732822,-2.385975570764894,12.528677031183651,0.17101982429103157,0.19070151715108885,0.8076,0.8715,0.9203,-190.8189010321463
76,5.0,1.0,-16.378429942377295,12.580534121051489,0.14043533680173492,0.257207955471345,0.8052,0.8897,0.9203,-188.8761517592021
77,5.0,0.9999999999999999,-8.257377423082062,12.762957138241912,0.16177086025989396,0.23160070531427668,0.8503,0.8425,0.9203,-203.57589546291064
78,5.0,0.9999999999999994,-8.006472243961348,13.292310997274683,0.21081531767047312,0.2605754066311665,0.8668,0.7875,0.9203,-219.43543144942163
79,5.0,1.0,-8.836577524732814,13.118589073732075,0.19586225074642827,0.2616508122685116,0.8762,0.8677,0.9203,-203.07460691580047
80,5.0,0.0045386518449449355,2.6091289210270876,12.931906666033147,0.22069466497143886,0.2029016873503885,0.7631,0.8477,0.9203,-224.5698037520839
81,5.0,0.9999999999999939,-7.7134212607781025,12.425688066245385,0.15108905871809464,0.21857248127118745,0.8349,0.8944,0.9203,-176.58143363211673
82,5.0,1.0,-11.775217678114583,12.376437787592973,0.13505464684772883,0.22562711530288349,0.8543,0.8898,0.9203,-179.39259307710202
83,5.0,0.9999999997889756,-6.245647216529813,12.85095197923058,0.1819265245264119,0.2303677909600259,0.8716,0.8667,0.9203,-193.50850788928696
84,5.0,0.9999999997283839,-6.206078044442998,13.159152188671158,0.20450009803293323,0.2486814925641302,0.8887,0.8554,0.9203,-210.54048826431566
